;Area 1;Area 2;Area 3;Area 4
Acca sellowiana;;;;0,266844748
Allophylus edulis;;;;0,011476185
Araucaria angustifolia;;0,963535435;0,006194361;3,873998507
Azara uruguayensis;0,041138257;;0,004028591;
Baccharis dentata;0,01161006;;0,00420366;0,003247079
Baccharis erioclada;;0,008686795;;
Baccharis lateralis;0,003218894;;;
Baccharis microdonta;;0,008323765;;
Baccharis oblongifolia;0,064365778;;;
Baccharis uncinella;;0,229193664;;0,051393439
Berberis laurina;0,016158607;;;0,074424194
Blepharocalyx salicifolius;0,009748195;;;
Campovassouria cruciata;;0,029016596;;
Cinnamomum amoenum;;0,34523132;;
Citronella gongonha;;;;0,288151855
Citronella paniculata;0,099670954;;;
Crinodendron brasiliense;0,018334564;;1,785014527;
Dasyphyllum spinescens;;;;0,006018046
Dicksonia sellowiana;0,952634168;;;0,514360367
Drimys angustifolia;3,740719385;0,145603174;3,013775828;
Drimys brasiliensis;;;;0,136710833
Escallonia bifida;;;;0,101148855
Eugenia uruguayensis;0,426189877;;;
Ilex microdonta;0,158499279;;0,11685905;
Ilex paraguariensis;;0,003710282;;
Lithraea brasiliensis;;;;0,81773197
Maytenus boaria;0,058982069;;0,010543647;0,017723017
Mimosa scabrella;;0,904959368;;0,089720177
Moquiniastrum polymorphum;;;;0,009567122
Myrceugenia euosma;0,064314291;0,013518876;;0,013193626
Myrceugenia glaucensces ;;;;0,032384927
Myrceugenia glaucescens;0,008679872;;0,146428149;
Myrceugenia mesomischa;0,161778423;;;0,029434991
Myrceugenia miersiana;0,029125935;;;
Myrceugenia myrcioides;0,373892604;;;
Myrceugenia oxysepala;0,212464091;;0,129956884;0,025295609
Myrceugenia regnelliana;0,125836938;;0,744814206;0,008065177
Myrcia laruotteana;;;;0,005140705
Myrcianthes pungens;;;;0,003859507
Myrrhinium atropurpureum;0,041889146;;;
MyrrhiniumÂ atropurpureum;;;;0,064323027
Myrsine coriacea;0,027099504;;;
Mysine coriacea;;;;0,011012249
Ocotea porosa;0,046580137;;;
Ocotea pulchella;0,039213685;;0,074652948;0,030573903
Oreopanax fulvum;;;;0,078152
Persea willdenovii;0,024364996;;;
Podocarpus lambertii;;;;0,784670236
Prunus myrtifolia;0,404615173;;0,016671323;0,101621545
Quillaja brasiliensis;;;;0,002524516
Schinus lentiscifolius;;;;0,006758117
Schinus polygamus;;0,004601307;0,036804408;0,008220353
Siphoneugena reitzii;0,13212711;;1,501576257;
Solanum cassioides;0,002578298;;;
Solanum compressum;;0,002299778;;
Solanum pabstii;0,012209355;;;0,0061059
Solanum paranense;0,003851532;;;
Styrax leprosus;;;;0,274079852
Symphyopappus itatiayensis;0,044840502;0,002037174;0,005245802;
Vernonanthura discolor;0,002037174;0,037204761;;
Vernonanthura montevidensis;;;;0,004733905
Weinmannia paulliniifolia;1,244555515;;0,629923167;
